serialNumber,date,latestFullness,fullnessThreshold,reason_code,longitude,latitude,year,month,day,weekday
1510830,2018-06-26,6.0,6.0,1,144.6601949611,-37.9018111375,2018,6,26,1
1510830,2018-06-27,0.0,6.0,2,144.6601949611,-37.9018111375,2018,6,27,2
1510830,2018-06-28,2.0,6.0,2,144.6601949611,-37.9018111375,2018,6,28,3
1510830,2018-06-29,8.0,6.0,1,144.6601949611,-37.9018111375,2018,6,29,4
1510830,2018-06-30,6.0,6.0,1,144.6601949611,-37.9018111375,2018,6,30,5
1510830,2018-07-01,0.0,6.0,2,144.6601949611,-37.9018111375,2018,7,1,6
1510830,2018-07-02,0.0,6.0,2,144.6601949611,-37.9018111375,2018,7,2,0
1510830,2018-07-03,0.0,6.0,2,144.6601949611,-37.9018111375,2018,7,3,1
1510830,2018-07-04,0.0,6.0,2,144.6601949611,-37.9018111375,2018,7,4,2
1510830,2018-07-05,4.0,6.0,2,144.6601949611,-37.9018111375,2018,7,5,3
1510830,2018-07-06,6.0,6.0,1,144.6601949611,-37.9018111375,2018,7,6,4
1510830,2018-07-07,0.0,6.0,2,144.6601949611,-37.9018111375,2018,7,7,5
1510830,2018-07-08,0.0,6.0,2,144.6601949611,-37.9018111375,2018,7,8,6
1510830,2018-07-09,2.0,6.0,2,144.6601949611,-37.9018111375,2018,7,9,0
1510830,2018-07-10,4.0,6.0,2,144.6601949611,-37.9018111375,2018,7,10,1
1510830,2018-07-11,6.0,6.0,1,144.6601949611,-37.9018111375,2018,7,11,2
1510830,2018-07-12,0.0,6.0,2,144.6601949611,-37.9018111375,2018,7,12,3
1510830,2018-07-13,0.0,6.0,2,144.6601949611,-37.9018111375,2018,7,13,4
1510830,2018-07-14,0.0,6.0,2,144.6601949611,-37.9018111375,2018,7,14,5
1510830,2018-07-15,4.0,6.0,2,144.6601949611,-37.9018111375,2018,7,15,6
1510830,2018-07-16,4.0,6.0,2,144.6601949611,-37.9018111375,2018,7,16,0
